Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime_bin,is_married,AgeFactor,Norm_JobSatisfaction,Norm_WorkLifeBalance,Norm_PerformanceRating,Norm_YearsAtCompany,Norm_RelationshipSatisfaction,Norm_EnvironmentSatisfaction,Norm_YearsSinceLastPromotion,Norm_TrainingTimesLastYear,Norm_JobInvolvement,Norm_MonthlyIncome,Norm_PercentSalaryHike,Norm_JobLevel,Norm_TotalWorkingYears,Norm_NumCompaniesWorked,Score_P01,Score_P02,Score_P03,Score_P04,Score_S01,Score_S02,Score_S03,Score_N01,Score_N02,Score_N03,Prob_P01,Prob_P02,Prob_P03,Prob_P04,Prob_S01,Prob_S02,Prob_S03,Prob_N01,Prob_N02,Prob_N03,argmax_Persona_Code,argmax_Persona,argmax_RiskTier,softmax_Persona_Code,softmax_Persona,softmax_RiskTier
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,1,0,1,1.0,0.0,0.0,0.15,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.2624539231174302,0.0,0.25,0.2,0.8888888888888888,0.7000000000000001,0.8583333333333334,0.3666666666666667,0.745018430753028,0.16222222222222224,0.4,0.7166666666666668,0.6666666666666667,0.43333333333333335,0.3,0.10509128153183117,0.5119170774149898,0.003749025678220773,0.1648463170330346,0.0004853192013757172,0.005232186818491718,0.12415067973902398,0.07530119368588206,0.007302104934258696,0.0019248139628913197,P02,온보딩에 실패한 직원,High,P04,저평가된 전문가,High
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,0,1,0,0.3333333333333333,0.6666666666666666,1.0,0.25,1.0,0.6666666666666666,0.06666666666666667,0.5,0.3333333333333333,0.21700895208004212,0.8571428571428571,0.25,0.25,0.1111111111111111,0.2666666666666667,0.44166666666666665,0.31666666666666665,0.42033927631084034,0.37777777777777777,0.9447619047619049,0.31666666666666665,0.36190476190476195,0.5666666666666667,0.7,0.0010024844855617884,0.005768899903268091,0.0016528174948925946,0.004660895051220994,0.0030452789782593093,0.8830958854767964,0.0016528174948925946,0.0025983129179689853,0.02013543914967408,0.07638716904746527,S02,라이징 스타,Stable,S02,라이징 스타,Stable
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,1,0,1,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,0.0,0.5,0.3333333333333333,0.0569246972090574,0.2857142857142857,0.0,0.175,0.6666666666666666,0.6666666666666666,0.7,0.2833333333333333,0.6629444068306629,0.13666666666666666,0.4571428571428572,0.4,0.7761904761904762,0.2,0.3,0.1514443167360697,0.21135757014553205,0.0032768568245786734,0.1459107907548496,0.0007559485286559465,0.018633851801123234,0.010522873794901211,0.4528025263776074,0.001424116105496086,0.0038711489311858724,N01,현상 유지자,Neutral,N01,현상 유지자,Neutral
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,1,1,1,0.6666666666666666,0.6666666666666666,0.0,0.2,0.6666666666666666,1.0,0.2,0.5,0.6666666666666666,0.10005265929436545,0.0,0.0,0.2,0.1111111111111111,0.6666666666666666,0.5,0.31666666666666665,0.7599789362822539,0.33777777777777784,0.32000000000000006,0.5333333333333333,0.6666666666666667,0.1,0.8,0.11247645481057113,0.021244058207378413,0.003396494631897897,0.2859641934696251,0.0041948392521875535,0.0035116192029943246,0.029648471593469436,0.11247645481057125,0.0003890984986575928,0.4266983155226473,N03,신규 부모,Neutral,N03,신규 부모,Neutral
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,0,1,0,0.3333333333333333,0.6666666666666666,0.0,0.05,1.0,0.0,0.13333333333333333,0.5,0.6666666666666666,0.1294892048446551,0.07142857142857142,0.0,0.15,1.0,0.3666666666666667,0.675,0.2833333333333333,0.7196328894907094,0.08,0.36095238095238097,0.4,0.6523809523809524,0.2,0.7,0.009487012435093317,0.20711145627961755,0.00412303860837593,0.3236251751877926,0.0005396994246000174,0.008960095577107835,0.013240192431362475,0.16518509091300396,0.0017918651928056954,0.26593637395024067,P04,저평가된 전문가,High,P02,온보딩에 실패한 직원,High
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,0,0,1,1.0,0.3333333333333333,0.0,0.175,0.6666666666666666,1.0,0.2,0.3333333333333333,0.6666666666666666,0.10842548709847288,0.14285714285714285,0.0,0.2,0.0,0.23333333333333336,0.5125,0.3666666666666667,0.6994869480177538,0.35000000000000003,0.34857142857142864,0.6666666666666667,0.6380952380952382,0.1,0.5,0.0035537657784411253,0.05795544296569004,0.013481807138895859,0.3759830154742703,0.011412103361575162,0.011250232288403928,0.2707893350795879,0.20349203651926526,0.0009367624887306872,0.05114549890513966,P04,저평가된 전문가,High,N03,신규 부모,Neutral
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,1,1,0,0.0,0.3333333333333333,1.0,0.025,0.0,0.6666666666666666,0.0,0.5,1.0,0.08746708794102159,0.6428571428571429,0.0,0.3,0.4444444444444444,0.8333333333333333,0.8541666666666666,0.15,0.5078703076807343,0.2411111111111111,0.9285714285714286,0.4,0.07142857142857142,0.8666666666666667,0.5,0.15845977519827495,0.19516280549519413,0.00017070257634658605,0.0061157690169731955,0.00042455171908505545,0.4107076835662037,0.002079583105418808,7.78052132119556e-05,0.2211484311430613,0.0056528929662303775,S02,라이징 스타,Stable,S02,라이징 스타,Stable
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,0,0,1,0.6666666666666666,0.6666666666666666,1.0,0.025,0.3333333333333333,1.0,0.0,0.3333333333333333,0.6666666666666666,0.08867825171142707,0.7857142857142857,0.0,0.025,0.1111111111111111,0.16666666666666669,0.6875,0.2666666666666667,0.45024298502971494,0.19777777777777777,0.9571428571428572,0.5333333333333333,0.20952380952380956,0.7,0.5,0.0003133923689514161,0.05728472648777177,0.0008518887816983678,0.005341272310811237,0.00042776205362354976,0.8493425725603534,0.012260311868602367,0.0004810770329601799,0.0649120992039748,0.008784897331253039,S02,라이징 스타,Stable,S02,라이징 스타,Stable
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,0,0,1,0.6666666666666666,0.6666666666666666,1.0,0.225,0.3333333333333333,1.0,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.4484992101105845,0.7142857142857143,0.5,0.25,0.0,0.16666666666666669,0.5875,0.3666666666666667,0.43488603024148054,0.39,0.9161904761904763,0.5,0.39047619047619053,0.7,0.5,0.00046048983851668156,0.030965350191882766,0.003402585249787279,0.00673103651572824,0.004296792626688301,0.8286298930037832,0.012908278421040538,0.004317302337847809,0.09537999339368446,0.012908278421040538,S02,라이징 스타,Stable,S02,라이징 스타,Stable
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,0,1,1,0.6666666666666666,0.3333333333333333,0.0,0.175,0.3333333333333333,0.6666666666666666,0.4666666666666667,0.5,0.6666666666666666,0.22264349657714586,0.14285714285714285,0.25,0.425,0.6666666666666666,0.33333333333333337,0.6791666666666667,0.44999999999999996,0.7037997442262847,0.30666666666666664,0.24190476190476193,0.5833333333333334,0.6380952380952382,0.2666666666666667,1.0,0.0011144402852562955,0.03539907273573527,0.0035787692601471914,0.045286836328590756,0.000853581395892979,0.0004466707996822358,0.013576662044699478,0.02347582903619488,0.0005721727205901478,0.8756959653932108,N03,신규 부모,Neutral,N03,신규 부모,Neutral
