Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Score_P01,Score_P02,Score_P03,Score_S01,Score_S02,Score_N01,Score_N02,Prob_P01,Prob_P02,Prob_P03,Prob_S01,Prob_S02,Prob_N01,Prob_N02,argmax_Persona_Code,argmax_Persona,argmax_RiskTier,softmax_Persona_Code,softmax_Persona,softmax_RiskTier
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,0.6333333333333334,0.725,0.3666666666666667,0.16222222222222224,0.4,0.6666666666666667,0.5,0.18742035429903506,0.46872706344118925,0.01302261304609718,0.0016858044478255778,0.01817452057422143,0.2615661751737704,0.04940346901786116,P02,Onboarding Failure (온보딩 실패),High,N01,Coaster (현상 유지자),Neutral
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,0.2666666666666667,0.5083333333333333,0.31666666666666665,0.37777777777777777,0.9447619047619049,0.37619047619047624,0.5,0.0010975691497682534,0.012302033049187776,0.0018095856032871724,0.003334120684273867,0.9668566587775584,0.0032816159404337707,0.01131841679549056,S02,Rising Star (라이징 스타),Stable,S02,Rising Star (라이징 스타),Stable
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,0.7666666666666666,0.7666666666666666,0.2833333333333333,0.13666666666666666,0.4571428571428572,0.7476190476190476,0.33333333333333337,0.34545301710542414,0.34545301710542414,0.0027497866185254073,0.0006343570255497397,0.015636666194868722,0.2855395242623585,0.004533631687849418,P01,Burnout (저성과자/번아웃),High,N01,Coaster (현상 유지자),Neutral
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,0.7333333333333333,0.5666666666666667,0.31666666666666665,0.33777777777777784,0.32000000000000006,0.6666666666666667,0.16666666666666669,0.5693355835080902,0.10753360155196562,0.008826895535415982,0.01090165358107214,0.009126084161561373,0.2923066350474638,0.0019695466144308282,P01,Burnout (저성과자/번아웃),High,S02,Rising Star (라이징 스타),Stable
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,0.43333333333333335,0.6083333333333334,0.2833333333333333,0.08,0.36095238095238097,0.6452380952380953,0.0,0.06317848840643282,0.36356709844965535,0.014097026236063065,0.0018452790940930463,0.030635343111151646,0.525847627358748,0.0008291373438559937,N01,Coaster (현상 유지자),Neutral,P02,Onboarding Failure (온보딩 실패),High
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,0.23333333333333334,0.5125,0.3666666666666667,0.35000000000000003,0.34857142857142864,0.6238095238095238,0.16666666666666669,0.012881532596815178,0.21007431954417646,0.04886825664685257,0.04136608617882498,0.040779343091200536,0.6394168625875492,0.006613599354581273,N01,Coaster (현상 유지자),Neutral,N01,Coaster (현상 유지자),Neutral
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,0.7,0.9875,0.15,0.2411111111111111,0.9285714285714286,0.10714285714285712,1.0,0.020550514868874808,0.36426659196520994,8.398525721184873e-05,0.00020887842521308278,0.2020671930173833,5.471127680459001e-05,0.41276812518930234,N02,Competent Malcontent (유능한 불만자),Neutral,N02,Competent Malcontent (유능한 불만자),Neutral
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,0.13333333333333336,0.7541666666666667,0.2666666666666667,0.19777777777777777,0.9571428571428572,0.23095238095238096,0.8333333333333334,0.00018569455476024471,0.09226650653128603,0.0007044634706114274,0.00035373483882572744,0.7023579007708526,0.0004928937439707873,0.20363880608969334,S02,Rising Star (라이징 스타),Stable,S02,Rising Star (라이징 스타),Stable
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,0.16666666666666669,0.6541666666666667,0.3666666666666667,0.39,0.9161904761904763,0.41904761904761906,0.8333333333333334,0.00036411364242029155,0.04768947598850451,0.0026904561302295116,0.003397514305783,0.6552054428211104,0.004542694181950922,0.28611030293000145,S02,Rising Star (라이징 스타),Stable,S02,Rising Star (라이징 스타),Stable
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,0.33333333333333337,0.6791666666666667,0.44999999999999996,0.30666666666666664,0.24190476190476193,0.6238095238095238,0.33333333333333337,0.017729588164066702,0.563162503453554,0.056934504213511365,0.013579594002393142,0.0071060687845281205,0.3237581532178797,0.017729588164066702,P02,Onboarding Failure (온보딩 실패),High,P02,Onboarding Failure (온보딩 실패),High
